cell_id,cycle,height_mean,height_std,height_median,roughness_mean,roughness_std,roughness_median,length_mean,length_std,length_median,wideth_mean,wideth_std,wideth_median,adhesion_mean,adhesion_std,adhesion_median,elastic_modulus_mean,elastic_modulus_std,elastic_modulus_median
253,P8,2.13275,0.04019410142637448,2.144,197.85999999999999,37.80146752929602,192.65,99.43050000000001,0.22243804578022794,99.435,33.5915,0.23170478040635945,33.59,552.33,21.801547506638393,557.5,4.1696,0.18642859505084416,4.1885
254,P8,2.38095,0.10860283751260606,2.4175,240.74,19.606346985230658,243.35,105.60999999999999,0.5505021631010621,105.45,30.675,0.3033930922434666,30.695,530.35,9.485196221925028,531.1,4.8332999999999995,0.13804960969463884,4.8515
255,P8,2.94585,0.0467842472363687,2.9619999999999997,198.475,15.300288094982859,194.65,120.67999999999999,0.3503381824826739,120.6,43.5215,0.3063756723886205,43.53,593.905,4.107307352050797,592.2,4.7425,0.314004274191493,4.82
256,P8,2.2414,0.0710280893286888,2.248,154.1035,15.815224601962704,159.25,91.876,0.4031638037219822,91.88,29.952499999999997,0.38515717912506786,30.06,582.915,4.314513450644182,581.7,4.8071,0.3928068897455579,4.782
257,P8,2.52985,0.1278079459682831,2.5375,134.13,18.653068041703513,129.95,113.46,0.2562893102068748,113.4,32.668,0.25405345479787766,32.675,436.675,2.9708894645419517,436.0,3.9283500000000005,0.3572748131414573,3.851
258,P8,2.95765,0.04985798252088243,2.959,217.185,38.11332513218413,215.6,102.045,0.2818640956579115,102.1,35.714999999999996,0.2903989995633044,35.7,548.9100000000001,14.23157719557757,541.1,4.91295,0.2776875326504124,4.7844999999999995
259,P8,1.14525,0.025989623435436492,1.153,164.155,23.096102997783206,163.05,86.561,0.29250101214399227,86.61500000000001,32.566,0.28312913178116716,32.5,545.4,8.09125583902966,544.1,4.148899999999999,0.21724807551688358,4.1775
260,P8,2.13255,0.09745631950020649,2.131,184.105,28.44739327619539,189.15,95.4805,0.28522336583991953,95.47999999999999,26.62625,0.25856321124732035,26.65,538.5350000000001,4.989280614741105,537.1,5.449199999999999,0.8697468839296082,5.491
261,P8,2.35895,0.031854066913776756,2.362,141.075,20.138882919942652,141.65,107.74000000000001,0.2909150717088534,107.7,41.6395,0.3830964561789153,41.605000000000004,538.0350000000001,7.071013848247309,537.0,4.83305,0.5981619631926844,4.853
262,P8,1.9264499999999998,0.03915754279694702,1.9365,237.09,29.870173470502223,236.55,99.675,0.25915855744068433,99.715,28.5265,0.27342419328523976,28.555,565.705,12.852092805208185,563.8,3.2204,0.3037976126859527,3.166
263,P8,3.81745,0.10125344698485973,3.819,219.475,29.819860478335052,218.2,96.8475,1.1017396530750325,97.055,31.384500000000003,0.30632756804990263,31.380000000000003,581.835,4.741671368665331,580.75,4.7517,0.1246600007599611,4.742
264,P8,2.53255,0.03390928300162384,2.5404999999999998,148.025,20.640656736797787,146.05,109.5,0.4812265031857862,109.5,28.258499999999998,0.36416125693520957,28.32,527.955,6.09801304999382,528.75,5.129,0.6622716885642053,5.242
265,P8,2.5386499999999996,0.12813285662689494,2.5469999999999997,126.828,22.615954917758952,131.75,105.48499999999999,0.5797231644228302,105.5,23.4235,0.17874636543967676,23.445,559.21,4.707988731373174,559.5,4.1739,0.11783212858263988,4.1434999999999995
